00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043642.608 0 10.16.7.213 TCP_DENIED/403 0 CONNECT tunnel://resources.xg4ken.com:443/ - NONE/- - BLOCK_WEBCAT_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-NONE-NONE <"IW_adv",3.0,-,"-",-,-,-,-,"-",-,-,-,"-",-,-,"-","-",-,-,"IW_adv",-,"-","Advertisements","-","Unknown","Unknown","-","-",0.00,0,-,"-","-",-,"-",-,-,"-","-",-,-,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043642.758 335566 10.16.7.213 TCP_MISS/200 6725 CONNECT tunnel://ping.chartbeat.net:443/ - DIRECT/ping.chartbeat.net - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_comp",5.7,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_comp",-,"-","Computers and Internet","-","Unknown","Unknown","-","-",0.16,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043643.039 10094 10.16.7.211 TCP_MISS/200 414 CONNECT tunnel://www.google.com:443/ - DIRECT/www.google.com - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_srch",6.3,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_srch",-,"-","Search Engines and Portals","-","Unknown","Unknown","-","-",0.33,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043643.600 171247 10.16.7.208 TCP_MISS/200 5877 CONNECT tunnel://services.addons.mozilla.org:443/ - DIRECT/services.addons.mozilla.org - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_comp",4.7,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_comp",-,"-","Computers and Internet","-","Unknown","Unknown","-","-",0.27,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043643.612 115944 10.16.7.211 TCP_MISS/200 283136 CONNECT tunnel://rr2---sn-o3o-itqs.googlevideo.com:443/ - DIRECT/rr2---sn-o3o-itqs.googlevideo.com - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_vid",4.7,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_vid",-,"-","Streaming Video","-","Unknown","Unknown","-","-",19.54,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:50 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043643.613 115945 10.16.7.211 TCP_MISS/200 1059727 CONNECT tunnel://rr2---sn-o3o-itqs.googlevideo.com:443/ - DIRECT/rr2---sn-o3o-itqs.googlevideo.com - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_vid",4.7,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_vid",-,"-","Streaming Video","-","Unknown","Unknown","-","-",73.12,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:59 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043652.877 32 10.16.7.208 TCP_MISS/200 39 CONNECT tunnel://api.ibeat-analytics.com:443/ - DIRECT/api.ibeat-analytics.com - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_busi",3.0,0,"-",0,0,0,-,"-",-,-,-,"-",-,-,"-","-",-,-,"IW_busi",-,"-","Business and Industry","-","Unknown","Unknown","-","-",9.75,0,-,"Unknown","-",-,"-",-,-,"-","-",-,-,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:59 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043653.040 170722 10.16.7.208 TCP_MISS/200 10102 CONNECT tunnel://reco.slike.in:443/ - DIRECT/reco.slike.in - DEFAULT_CASE_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_art",3.0,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_art",-,"-","Arts","-","Unknown","Unknown","-","-",0.47,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:59 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043653.071 171690 10.16.6.224 TCP_MISS/200 6333 CONNECT tunnel://uconnect.tealiumiq.com:443/ - DIRECT/uconnect.tealiumiq.com - DEFAULT_CASE_12-INTERNET_ACCESS-RCI_USERS-NONE-NONE-NONE-DefaultGroup-NONE <"IW_busi",3.0,1,"-",0,0,0,1,"-",-,-,-,"-",1,-,"-","-",-,-,"IW_busi",-,"-","Business and Industry","-","Unknown","Unknown","-","-",0.30,0,-,"Unknown","-",1,"-",-,-,"-","-",-,1,"-",-,-> - 1
10.16.1.241 <38>Jan 23 16:00:59 WEBIRONPORT.HASTINAPUR.RES TO-SYSLOG-SERVER: Info: 1706043653.355 0 10.16.7.211 TCP_DENIED/403 0 CONNECT tunnel://adservice.google.com:443/ - NONE/- - BLOCK_WEBCAT_12-INTERNET_ACCESS-VDI_USERS-NONE-NONE-NONE-NONE-NONE <"IW_adv",9.0,-,"-",-,-,-,-,"-",-,-,-,"-",-,-,"-","-",-,-,"IW_adv",-,"-","Advertisements","-","Unknown","Unknown","-","-",0.00,0,-,"-","-",-,"-",-,-,"-","-",-,-,"-",-,-> - 1
